graph,n_directed,n_undirected,n_total,directed_edges,undirected_edges
directlingam_measure_pwling_threshold_0p070_constraint_nhanes_strict_tiers,33,0,33,Age -> Income_Ratio; Waist_Circumference -> BMI; Vigorous_Activity -> Waist_Circumference; Sedentary_Minutes -> Waist_Circumference; Total_Calories -> Waist_Circumference; Dietary_Fiber_g -> Waist_Circumference; Age -> Vigorous_Activity; Gender -> Vigorous_Activity; Income_Ratio -> Vigorous_Activity; Income_Ratio -> Sedentary_Minutes; Age -> Systolic_BP; Gender -> Systolic_BP; Income_Ratio -> Systolic_BP; BMI -> Systolic_BP; Age -> Diastolic_BP; Income_Ratio -> Diastolic_BP; Systolic_BP -> Diastolic_BP; Protein_g -> Total_Calories; Carbohydrates_g -> Total_Calories; Total_Sugars_g -> Total_Calories; Dietary_Fiber_g -> Total_Calories; Gender -> Protein_g; Carbohydrates_g -> Protein_g; Total_Sugars_g -> Protein_g; Gender -> Carbohydrates_g; Total_Sugars_g -> Carbohydrates_g; Age -> Total_Sugars_g; Gender -> Total_Sugars_g; Age -> Dietary_Fiber_g; Vigorous_Activity -> Dietary_Fiber_g; Protein_g -> Dietary_Fiber_g; Carbohydrates_g -> Dietary_Fiber_g; Total_Sugars_g -> Dietary_Fiber_g,
directlingam_measure_pwling_threshold_0p070_constraint_unconstrained,36,0,36,Gender -> Age; Income_Ratio -> Age; BMI -> Age; Waist_Circumference -> Age; Vigorous_Activity -> Age; Systolic_BP -> Age; Diastolic_BP -> Age; Vigorous_Activity -> Gender; Vigorous_Activity -> Income_Ratio; Vigorous_Activity -> BMI; Gender -> Waist_Circumference; BMI -> Waist_Circumference; Vigorous_Activity -> Waist_Circumference; Income_Ratio -> Sedentary_Minutes; Waist_Circumference -> Sedentary_Minutes; BMI -> Systolic_BP; Vigorous_Activity -> Systolic_BP; Diastolic_BP -> Systolic_BP; Gender -> Diastolic_BP; BMI -> Diastolic_BP; Protein_g -> Total_Calories; Carbohydrates_g -> Total_Calories; Total_Sugars_g -> Total_Calories; Dietary_Fiber_g -> Total_Calories; Gender -> Protein_g; Carbohydrates_g -> Protein_g; Total_Sugars_g -> Protein_g; Gender -> Carbohydrates_g; Total_Sugars_g -> Carbohydrates_g; Age -> Total_Sugars_g; Gender -> Total_Sugars_g; Age -> Dietary_Fiber_g; Vigorous_Activity -> Dietary_Fiber_g; Protein_g -> Dietary_Fiber_g; Carbohydrates_g -> Dietary_Fiber_g; Total_Sugars_g -> Dietary_Fiber_g,
directlingam_measure_pwling_threshold_0p080_constraint_nhanes_moderate_tiers,32,0,32,Income_Ratio -> Age; Age -> BMI; Gender -> BMI; Waist_Circumference -> BMI; Age -> Waist_Circumference; Gender -> Waist_Circumference; Vigorous_Activity -> Waist_Circumference; Sedentary_Minutes -> Waist_Circumference; Dietary_Fiber_g -> Waist_Circumference; Age -> Vigorous_Activity; Gender -> Vigorous_Activity; Income_Ratio -> Vigorous_Activity; Income_Ratio -> Sedentary_Minutes; Age -> Systolic_BP; Waist_Circumference -> Systolic_BP; Age -> Diastolic_BP; Income_Ratio -> Diastolic_BP; Systolic_BP -> Diastolic_BP; Protein_g -> Total_Calories; Carbohydrates_g -> Total_Calories; Total_Sugars_g -> Total_Calories; Gender -> Protein_g; Carbohydrates_g -> Protein_g; Total_Sugars_g -> Protein_g; Gender -> Carbohydrates_g; Total_Sugars_g -> Carbohydrates_g; Gender -> Total_Sugars_g; Age -> Dietary_Fiber_g; Vigorous_Activity -> Dietary_Fiber_g; Protein_g -> Dietary_Fiber_g; Carbohydrates_g -> Dietary_Fiber_g; Total_Sugars_g -> Dietary_Fiber_g,
directlingam_measure_pwling_threshold_0p080_constraint_nhanes_strict_tiers,27,0,27,Age -> Income_Ratio; Waist_Circumference -> BMI; Vigorous_Activity -> Waist_Circumference; Sedentary_Minutes -> Waist_Circumference; Age -> Vigorous_Activity; Gender -> Vigorous_Activity; Income_Ratio -> Vigorous_Activity; Income_Ratio -> Sedentary_Minutes; Age -> Systolic_BP; BMI -> Systolic_BP; Age -> Diastolic_BP; Income_Ratio -> Diastolic_BP; Systolic_BP -> Diastolic_BP; Protein_g -> Total_Calories; Carbohydrates_g -> Total_Calories; Total_Sugars_g -> Total_Calories; Gender -> Protein_g; Carbohydrates_g -> Protein_g; Total_Sugars_g -> Protein_g; Gender -> Carbohydrates_g; Total_Sugars_g -> Carbohydrates_g; Gender -> Total_Sugars_g; Age -> Dietary_Fiber_g; Vigorous_Activity -> Dietary_Fiber_g; Protein_g -> Dietary_Fiber_g; Carbohydrates_g -> Dietary_Fiber_g; Total_Sugars_g -> Dietary_Fiber_g,
directlingam_measure_pwling_threshold_0p080_constraint_unconstrained,34,0,34,Gender -> Age; Income_Ratio -> Age; BMI -> Age; Waist_Circumference -> Age; Vigorous_Activity -> Age; Systolic_BP -> Age; Diastolic_BP -> Age; Vigorous_Activity -> Gender; Vigorous_Activity -> Income_Ratio; Vigorous_Activity -> BMI; Gender -> Waist_Circumference; BMI -> Waist_Circumference; Vigorous_Activity -> Waist_Circumference; Income_Ratio -> Sedentary_Minutes; Waist_Circumference -> Sedentary_Minutes; BMI -> Systolic_BP; Vigorous_Activity -> Systolic_BP; Diastolic_BP -> Systolic_BP; Gender -> Diastolic_BP; BMI -> Diastolic_BP; Protein_g -> Total_Calories; Carbohydrates_g -> Total_Calories; Total_Sugars_g -> Total_Calories; Gender -> Protein_g; Carbohydrates_g -> Protein_g; Total_Sugars_g -> Protein_g; Gender -> Carbohydrates_g; Total_Sugars_g -> Carbohydrates_g; Gender -> Total_Sugars_g; Age -> Dietary_Fiber_g; Vigorous_Activity -> Dietary_Fiber_g; Protein_g -> Dietary_Fiber_g; Carbohydrates_g -> Dietary_Fiber_g; Total_Sugars_g -> Dietary_Fiber_g,
directlingam_measure_pwling_threshold_0p090_constraint_nhanes_moderate_tiers,29,0,29,Income_Ratio -> Age; Age -> BMI; Gender -> BMI; Waist_Circumference -> BMI; Age -> Waist_Circumference; Gender -> Waist_Circumference; Vigorous_Activity -> Waist_Circumference; Sedentary_Minutes -> Waist_Circumference; Dietary_Fiber_g -> Waist_Circumference; Age -> Vigorous_Activity; Gender -> Vigorous_Activity; Income_Ratio -> Vigorous_Activity; Income_Ratio -> Sedentary_Minutes; Age -> Systolic_BP; Waist_Circumference -> Systolic_BP; Age -> Diastolic_BP; Systolic_BP -> Diastolic_BP; Protein_g -> Total_Calories; Carbohydrates_g -> Total_Calories; Gender -> Protein_g; Carbohydrates_g -> Protein_g; Total_Sugars_g -> Protein_g; Gender -> Carbohydrates_g; Total_Sugars_g -> Carbohydrates_g; Gender -> Total_Sugars_g; Age -> Dietary_Fiber_g; Vigorous_Activity -> Dietary_Fiber_g; Carbohydrates_g -> Dietary_Fiber_g; Total_Sugars_g -> Dietary_Fiber_g,
directlingam_measure_pwling_threshold_0p090_constraint_nhanes_strict_tiers,24,0,24,Age -> Income_Ratio; Waist_Circumference -> BMI; Vigorous_Activity -> Waist_Circumference; Sedentary_Minutes -> Waist_Circumference; Age -> Vigorous_Activity; Gender -> Vigorous_Activity; Income_Ratio -> Vigorous_Activity; Income_Ratio -> Sedentary_Minutes; Age -> Systolic_BP; BMI -> Systolic_BP; Age -> Diastolic_BP; Systolic_BP -> Diastolic_BP; Protein_g -> Total_Calories; Carbohydrates_g -> Total_Calories; Gender -> Protein_g; Carbohydrates_g -> Protein_g; Total_Sugars_g -> Protein_g; Gender -> Carbohydrates_g; Total_Sugars_g -> Carbohydrates_g; Gender -> Total_Sugars_g; Age -> Dietary_Fiber_g; Vigorous_Activity -> Dietary_Fiber_g; Carbohydrates_g -> Dietary_Fiber_g; Total_Sugars_g -> Dietary_Fiber_g,
directlingam_measure_pwling_threshold_0p090_constraint_unconstrained,28,0,28,Gender -> Age; Income_Ratio -> Age; BMI -> Age; Waist_Circumference -> Age; Vigorous_Activity -> Age; Systolic_BP -> Age; Diastolic_BP -> Age; Vigorous_Activity -> Income_Ratio; Vigorous_Activity -> BMI; Gender -> Waist_Circumference; BMI -> Waist_Circumference; Income_Ratio -> Sedentary_Minutes; Waist_Circumference -> Sedentary_Minutes; Vigorous_Activity -> Systolic_BP; Diastolic_BP -> Systolic_BP; Gender -> Diastolic_BP; BMI -> Diastolic_BP; Protein_g -> Total_Calories; Carbohydrates_g -> Total_Calories; Gender -> Protein_g; Carbohydrates_g -> Protein_g; Total_Sugars_g -> Protein_g; Gender -> Carbohydrates_g; Total_Sugars_g -> Carbohydrates_g; Gender -> Total_Sugars_g; Age -> Dietary_Fiber_g; Carbohydrates_g -> Dietary_Fiber_g; Total_Sugars_g -> Dietary_Fiber_g,
directlingam_measure_pwling_threshold_0p100_constraint_nhanes_moderate_tiers,25,0,25,Age -> BMI; Gender -> BMI; Waist_Circumference -> BMI; Age -> Waist_Circumference; Gender -> Waist_Circumference; Vigorous_Activity -> Waist_Circumference; Sedentary_Minutes -> Waist_Circumference; Age -> Vigorous_Activity; Income_Ratio -> Vigorous_Activity; Income_Ratio -> Sedentary_Minutes; Age -> Systolic_BP; Waist_Circumference -> Systolic_BP; Age -> Diastolic_BP; Systolic_BP -> Diastolic_BP; Protein_g -> Total_Calories; Carbohydrates_g -> Total_Calories; Gender -> Protein_g; Carbohydrates_g -> Protein_g; Total_Sugars_g -> Protein_g; Gender -> Carbohydrates_g; Total_Sugars_g -> Carbohydrates_g; Gender -> Total_Sugars_g; Age -> Dietary_Fiber_g; Carbohydrates_g -> Dietary_Fiber_g; Total_Sugars_g -> Dietary_Fiber_g,
directlingam_measure_pwling_threshold_0p100_constraint_nhanes_strict_tiers,21,0,21,Waist_Circumference -> BMI; Vigorous_Activity -> Waist_Circumference; Sedentary_Minutes -> Waist_Circumference; Age -> Vigorous_Activity; Income_Ratio -> Vigorous_Activity; Income_Ratio -> Sedentary_Minutes; Age -> Systolic_BP; BMI -> Systolic_BP; Age -> Diastolic_BP; Systolic_BP -> Diastolic_BP; Protein_g -> Total_Calories; Carbohydrates_g -> Total_Calories; Gender -> Protein_g; Carbohydrates_g -> Protein_g; Total_Sugars_g -> Protein_g; Gender -> Carbohydrates_g; Total_Sugars_g -> Carbohydrates_g; Gender -> Total_Sugars_g; Age -> Dietary_Fiber_g; Carbohydrates_g -> Dietary_Fiber_g; Total_Sugars_g -> Dietary_Fiber_g,
directlingam_measure_pwling_threshold_0p100_constraint_unconstrained,27,0,27,Income_Ratio -> Age; BMI -> Age; Waist_Circumference -> Age; Vigorous_Activity -> Age; Systolic_BP -> Age; Diastolic_BP -> Age; Vigorous_Activity -> Income_Ratio; Vigorous_Activity -> BMI; Gender -> Waist_Circumference; BMI -> Waist_Circumference; Income_Ratio -> Sedentary_Minutes; Waist_Circumference -> Sedentary_Minutes; Vigorous_Activity -> Systolic_BP; Diastolic_BP -> Systolic_BP; Gender -> Diastolic_BP; BMI -> Diastolic_BP; Protein_g -> Total_Calories; Carbohydrates_g -> Total_Calories; Gender -> Protein_g; Carbohydrates_g -> Protein_g; Total_Sugars_g -> Protein_g; Gender -> Carbohydrates_g; Total_Sugars_g -> Carbohydrates_g; Gender -> Total_Sugars_g; Age -> Dietary_Fiber_g; Carbohydrates_g -> Dietary_Fiber_g; Total_Sugars_g -> Dietary_Fiber_g,
