graph,rank,variable,variable_index
directlingam_measure_pwling_threshold_0p100_constraint_nhanes_moderate_tiers,4,Sedentary_Minutes,6
directlingam_measure_pwling_threshold_0p100_constraint_nhanes_moderate_tiers,5,Total_Sugars_g,12
directlingam_measure_pwling_threshold_0p100_constraint_nhanes_moderate_tiers,6,Carbohydrates_g,11
directlingam_measure_pwling_threshold_0p100_constraint_nhanes_moderate_tiers,7,Protein_g,10
directlingam_measure_pwling_threshold_0p100_constraint_nhanes_moderate_tiers,8,Dietary_Fiber_g,13
directlingam_measure_pwling_threshold_0p100_constraint_nhanes_moderate_tiers,9,Total_Calories,9
directlingam_measure_pwling_threshold_0p100_constraint_nhanes_moderate_tiers,10,Waist_Circumference,4
directlingam_measure_pwling_threshold_0p100_constraint_nhanes_moderate_tiers,11,Systolic_BP,7
directlingam_measure_pwling_threshold_0p100_constraint_nhanes_moderate_tiers,12,BMI,3
directlingam_measure_pwling_threshold_0p100_constraint_nhanes_moderate_tiers,13,Diastolic_BP,8
directlingam_measure_pwling_threshold_0p100_constraint_nhanes_strict_tiers,0,Gender,1
directlingam_measure_pwling_threshold_0p100_constraint_nhanes_strict_tiers,1,Age,0
directlingam_measure_pwling_threshold_0p100_constraint_nhanes_strict_tiers,2,Income_Ratio,2
directlingam_measure_pwling_threshold_0p100_constraint_nhanes_strict_tiers,3,Vigorous_Activity,5
directlingam_measure_pwling_threshold_0p100_constraint_nhanes_strict_tiers,4,Sedentary_Minutes,6
directlingam_measure_pwling_threshold_0p100_constraint_nhanes_strict_tiers,5,Total_Sugars_g,12
directlingam_measure_pwling_threshold_0p100_constraint_nhanes_strict_tiers,6,Carbohydrates_g,11
directlingam_measure_pwling_threshold_0p100_constraint_nhanes_strict_tiers,7,Protein_g,10
directlingam_measure_pwling_threshold_0p100_constraint_nhanes_strict_tiers,8,Dietary_Fiber_g,13
directlingam_measure_pwling_threshold_0p100_constraint_nhanes_strict_tiers,9,Total_Calories,9
directlingam_measure_pwling_threshold_0p100_constraint_nhanes_strict_tiers,10,Waist_Circumference,4
directlingam_measure_pwling_threshold_0p100_constraint_nhanes_strict_tiers,11,BMI,3
directlingam_measure_pwling_threshold_0p100_constraint_nhanes_strict_tiers,12,Systolic_BP,7
directlingam_measure_pwling_threshold_0p100_constraint_nhanes_strict_tiers,13,Diastolic_BP,8
