graph,source,target,edge_type,matrix_i_j,matrix_j_i
pc_alpha_0p600_constraint_nhanes_moderate_tiers,Age,Income_Ratio,undirected,-1,-1
pc_alpha_0p600_constraint_nhanes_moderate_tiers,Age,Waist_Circumference,directed,-1,1
pc_alpha_0p600_constraint_nhanes_moderate_tiers,Age,Vigorous_Activity,directed,-1,1
pc_alpha_0p600_constraint_nhanes_moderate_tiers,Age,Systolic_BP,directed,-1,1
pc_alpha_0p600_constraint_nhanes_moderate_tiers,Age,Diastolic_BP,directed,-1,1
pc_alpha_0p600_constraint_nhanes_moderate_tiers,Age,Total_Calories,directed,-1,1
pc_alpha_0p600_constraint_nhanes_moderate_tiers,Age,Dietary_Fiber_g,directed,-1,1
pc_alpha_0p600_constraint_nhanes_moderate_tiers,Gender,BMI,directed,-1,1
pc_alpha_0p600_constraint_nhanes_moderate_tiers,Gender,Waist_Circumference,directed,-1,1
pc_alpha_0p600_constraint_nhanes_moderate_tiers,Gender,Vigorous_Activity,directed,-1,1
pc_alpha_0p600_constraint_nhanes_moderate_tiers,Gender,Diastolic_BP,directed,-1,1
pc_alpha_0p600_constraint_nhanes_moderate_tiers,Gender,Total_Calories,directed,-1,1
pc_alpha_0p600_constraint_nhanes_moderate_tiers,Gender,Protein_g,directed,-1,1
pc_alpha_0p600_constraint_nhanes_moderate_tiers,Gender,Total_Sugars_g,directed,-1,1
pc_alpha_0p600_constraint_nhanes_moderate_tiers,Income_Ratio,BMI,directed,-1,1
pc_alpha_0p600_constraint_nhanes_moderate_tiers,Income_Ratio,Vigorous_Activity,directed,-1,1
pc_alpha_0p600_constraint_nhanes_moderate_tiers,Income_Ratio,Sedentary_Minutes,directed,-1,1
pc_alpha_0p600_constraint_nhanes_moderate_tiers,Income_Ratio,Diastolic_BP,directed,-1,1
pc_alpha_0p600_constraint_nhanes_moderate_tiers,Income_Ratio,Dietary_Fiber_g,directed,-1,1
pc_alpha_0p600_constraint_nhanes_moderate_tiers,Waist_Circumference,BMI,directed,1,-1
pc_alpha_0p600_constraint_nhanes_moderate_tiers,Vigorous_Activity,BMI,directed,1,-1
pc_alpha_0p600_constraint_nhanes_moderate_tiers,Systolic_BP,BMI,directed,1,-1
pc_alpha_0p600_constraint_nhanes_moderate_tiers,Vigorous_Activity,Waist_Circumference,directed,1,-1
pc_alpha_0p600_constraint_nhanes_moderate_tiers,Sedentary_Minutes,Waist_Circumference,directed,1,-1
pc_alpha_0p600_constraint_nhanes_moderate_tiers,Diastolic_BP,Waist_Circumference,directed,1,-1
pc_alpha_0p600_constraint_nhanes_moderate_tiers,Vigorous_Activity,Dietary_Fiber_g,directed,-1,1
pc_alpha_0p600_constraint_nhanes_moderate_tiers,Sedentary_Minutes,Total_Calories,directed,-1,1
pc_alpha_0p600_constraint_nhanes_moderate_tiers,Sedentary_Minutes,Dietary_Fiber_g,directed,-1,1
pc_alpha_0p600_constraint_nhanes_moderate_tiers,Systolic_BP,Diastolic_BP,directed,-1,1
pc_alpha_0p600_constraint_nhanes_moderate_tiers,Protein_g,Total_Calories,directed,1,-1
pc_alpha_0p600_constraint_nhanes_moderate_tiers,Carbohydrates_g,Total_Calories,directed,1,-1
pc_alpha_0p600_constraint_nhanes_moderate_tiers,Total_Sugars_g,Total_Calories,directed,1,-1
pc_alpha_0p600_constraint_nhanes_moderate_tiers,Dietary_Fiber_g,Total_Calories,directed,1,-1
pc_alpha_0p600_constraint_nhanes_moderate_tiers,Protein_g,Carbohydrates_g,directed,-1,1
pc_alpha_0p600_constraint_nhanes_moderate_tiers,Protein_g,Total_Sugars_g,directed,-1,1
pc_alpha_0p600_constraint_nhanes_moderate_tiers,Protein_g,Dietary_Fiber_g,directed,-1,1
pc_alpha_0p600_constraint_nhanes_moderate_tiers,Carbohydrates_g,Total_Sugars_g,directed,-1,1
pc_alpha_0p600_constraint_nhanes_moderate_tiers,Carbohydrates_g,Dietary_Fiber_g,directed,-1,1
pc_alpha_0p600_constraint_nhanes_moderate_tiers,Total_Sugars_g,Dietary_Fiber_g,directed,-1,1
