cycle_type,cycle_id,nodes
directed,1,Diastolic_BP -> Sedentary_Minutes -> Total_Calories -> Diastolic_BP
directed,2,Carbohydrates_g -> Sedentary_Minutes -> Total_Calories -> Dietary_Fiber_g -> Carbohydrates_g
directed,3,Carbohydrates_g -> Protein_g -> Total_Calories -> Dietary_Fiber_g -> Carbohydrates_g
directed,4,Sedentary_Minutes -> Total_Calories -> Dietary_Fiber_g -> Sedentary_Minutes
