graph,n_directed,n_undirected,n_total,directed_edges,undirected_edges
resit_regressor_random_forest_alpha_0p000_constraint_nhanes_moderate_tiers,81,0,81,Income_Ratio -> Age; Age -> BMI; Gender -> BMI; Income_Ratio -> BMI; Vigorous_Activity -> BMI; Sedentary_Minutes -> BMI; Systolic_BP -> BMI; Total_Calories -> BMI; Protein_g -> BMI; Carbohydrates_g -> BMI; Total_Sugars_g -> BMI; Dietary_Fiber_g -> BMI; Age -> Waist_Circumference; Gender -> Waist_Circumference; Income_Ratio -> Waist_Circumference; BMI -> Waist_Circumference; Vigorous_Activity -> Waist_Circumference; Sedentary_Minutes -> Waist_Circumference; Systolic_BP -> Waist_Circumference; Total_Calories -> Waist_Circumference; Protein_g -> Waist_Circumference; Carbohydrates_g -> Waist_Circumference; Total_Sugars_g -> Waist_Circumference; Dietary_Fiber_g -> Waist_Circumference; Age -> Vigorous_Activity; Gender -> Vigorous_Activity; Income_Ratio -> Vigorous_Activity; Income_Ratio -> Sedentary_Minutes; Age -> Systolic_BP; Gender -> Systolic_BP; Income_Ratio -> Systolic_BP; Vigorous_Activity -> Systolic_BP; Sedentary_Minutes -> Systolic_BP; Total_Calories -> Systolic_BP; Protein_g -> Systolic_BP; Carbohydrates_g -> Systolic_BP; Total_Sugars_g -> Systolic_BP; Dietary_Fiber_g -> Systolic_BP; Age -> Diastolic_BP; Gender -> Diastolic_BP; Income_Ratio -> Diastolic_BP; BMI -> Diastolic_BP; Waist_Circumference -> Diastolic_BP; Vigorous_Activity -> Diastolic_BP; Sedentary_Minutes -> Diastolic_BP; Systolic_BP -> Diastolic_BP; Total_Calories -> Diastolic_BP; Protein_g -> Diastolic_BP; Carbohydrates_g -> Diastolic_BP; Total_Sugars_g -> Diastolic_BP; Dietary_Fiber_g -> Diastolic_BP; Age -> Total_Calories; Gender -> Total_Calories; Income_Ratio -> Total_Calories; Vigorous_Activity -> Total_Calories; Carbohydrates_g -> Total_Calories; Total_Sugars_g -> Total_Calories; Dietary_Fiber_g -> Total_Calories; Age -> Protein_g; Gender -> Protein_g; Income_Ratio -> Protein_g; Vigorous_Activity -> Protein_g; Total_Calories -> Protein_g; Carbohydrates_g -> Protein_g; Total_Sugars_g -> Protein_g; Dietary_Fiber_g -> Protein_g; Age -> Carbohydrates_g; Gender -> Carbohydrates_g; Income_Ratio -> Carbohydrates_g; Vigorous_Activity -> Carbohydrates_g; Total_Sugars_g -> Carbohydrates_g; Dietary_Fiber_g -> Carbohydrates_g; Age -> Total_Sugars_g; Gender -> Total_Sugars_g; Income_Ratio -> Total_Sugars_g; Vigorous_Activity -> Total_Sugars_g; Dietary_Fiber_g -> Total_Sugars_g; Age -> Dietary_Fiber_g; Gender -> Dietary_Fiber_g; Income_Ratio -> Dietary_Fiber_g; Vigorous_Activity -> Dietary_Fiber_g,
resit_regressor_random_forest_alpha_0p000_constraint_nhanes_strict_tiers,77,0,77,Age -> Income_Ratio; Income_Ratio -> BMI; Waist_Circumference -> BMI; Vigorous_Activity -> BMI; Sedentary_Minutes -> BMI; Total_Calories -> BMI; Protein_g -> BMI; Carbohydrates_g -> BMI; Total_Sugars_g -> BMI; Dietary_Fiber_g -> BMI; Income_Ratio -> Waist_Circumference; Vigorous_Activity -> Waist_Circumference; Sedentary_Minutes -> Waist_Circumference; Total_Calories -> Waist_Circumference; Protein_g -> Waist_Circumference; Carbohydrates_g -> Waist_Circumference; Total_Sugars_g -> Waist_Circumference; Dietary_Fiber_g -> Waist_Circumference; Age -> Vigorous_Activity; Gender -> Vigorous_Activity; Income_Ratio -> Vigorous_Activity; Income_Ratio -> Sedentary_Minutes; Age -> Systolic_BP; Gender -> Systolic_BP; Income_Ratio -> Systolic_BP; BMI -> Systolic_BP; Waist_Circumference -> Systolic_BP; Vigorous_Activity -> Systolic_BP; Sedentary_Minutes -> Systolic_BP; Total_Calories -> Systolic_BP; Protein_g -> Systolic_BP; Carbohydrates_g -> Systolic_BP; Total_Sugars_g -> Systolic_BP; Dietary_Fiber_g -> Systolic_BP; Age -> Diastolic_BP; Gender -> Diastolic_BP; Income_Ratio -> Diastolic_BP; BMI -> Diastolic_BP; Waist_Circumference -> Diastolic_BP; Vigorous_Activity -> Diastolic_BP; Sedentary_Minutes -> Diastolic_BP; Systolic_BP -> Diastolic_BP; Total_Calories -> Diastolic_BP; Protein_g -> Diastolic_BP; Carbohydrates_g -> Diastolic_BP; Total_Sugars_g -> Diastolic_BP; Dietary_Fiber_g -> Diastolic_BP; Age -> Total_Calories; Gender -> Total_Calories; Income_Ratio -> Total_Calories; Vigorous_Activity -> Total_Calories; Carbohydrates_g -> Total_Calories; Total_Sugars_g -> Total_Calories; Dietary_Fiber_g -> Total_Calories; Age -> Protein_g; Gender -> Protein_g; Income_Ratio -> Protein_g; Vigorous_Activity -> Protein_g; Total_Calories -> Protein_g; Carbohydrates_g -> Protein_g; Total_Sugars_g -> Protein_g; Dietary_Fiber_g -> Protein_g; Age -> Carbohydrates_g; Gender -> Carbohydrates_g; Income_Ratio -> Carbohydrates_g; Vigorous_Activity -> Carbohydrates_g; Total_Sugars_g -> Carbohydrates_g; Dietary_Fiber_g -> Carbohydrates_g; Age -> Total_Sugars_g; Gender -> Total_Sugars_g; Income_Ratio -> Total_Sugars_g; Vigorous_Activity -> Total_Sugars_g; Dietary_Fiber_g -> Total_Sugars_g; Age -> Dietary_Fiber_g; Gender -> Dietary_Fiber_g; Income_Ratio -> Dietary_Fiber_g; Vigorous_Activity -> Dietary_Fiber_g,
resit_regressor_random_forest_alpha_0p000_constraint_unconstrained,81,0,81,Gender -> Age; Vigorous_Activity -> Age; Systolic_BP -> Age; Total_Calories -> Age; Protein_g -> Age; Carbohydrates_g -> Age; Total_Sugars_g -> Age; Dietary_Fiber_g -> Age; Vigorous_Activity -> Gender; Age -> Income_Ratio; Gender -> Income_Ratio; BMI -> Income_Ratio; Vigorous_Activity -> Income_Ratio; Systolic_BP -> Income_Ratio; Total_Calories -> Income_Ratio; Protein_g -> Income_Ratio; Carbohydrates_g -> Income_Ratio; Total_Sugars_g -> Income_Ratio; Dietary_Fiber_g -> Income_Ratio; Age -> BMI; Gender -> BMI; Vigorous_Activity -> BMI; Systolic_BP -> BMI; Total_Calories -> BMI; Protein_g -> BMI; Carbohydrates_g -> BMI; Total_Sugars_g -> BMI; Dietary_Fiber_g -> BMI; Age -> Waist_Circumference; Gender -> Waist_Circumference; Income_Ratio -> Waist_Circumference; BMI -> Waist_Circumference; Vigorous_Activity -> Waist_Circumference; Systolic_BP -> Waist_Circumference; Total_Calories -> Waist_Circumference; Protein_g -> Waist_Circumference; Carbohydrates_g -> Waist_Circumference; Total_Sugars_g -> Waist_Circumference; Dietary_Fiber_g -> Waist_Circumference; Income_Ratio -> Sedentary_Minutes; Waist_Circumference -> Sedentary_Minutes; Total_Sugars_g -> Sedentary_Minutes; Gender -> Systolic_BP; Vigorous_Activity -> Systolic_BP; Total_Calories -> Systolic_BP; Protein_g -> Systolic_BP; Carbohydrates_g -> Systolic_BP; Total_Sugars_g -> Systolic_BP; Dietary_Fiber_g -> Systolic_BP; Age -> Diastolic_BP; Gender -> Diastolic_BP; Income_Ratio -> Diastolic_BP; BMI -> Diastolic_BP; Waist_Circumference -> Diastolic_BP; Vigorous_Activity -> Diastolic_BP; Systolic_BP -> Diastolic_BP; Total_Calories -> Diastolic_BP; Protein_g -> Diastolic_BP; Carbohydrates_g -> Diastolic_BP; Total_Sugars_g -> Diastolic_BP; Dietary_Fiber_g -> Diastolic_BP; Gender -> Total_Calories; Vigorous_Activity -> Total_Calories; Carbohydrates_g -> Total_Calories; Total_Sugars_g -> Total_Calories; Dietary_Fiber_g -> Total_Calories; Gender -> Protein_g; Vigorous_Activity -> Protein_g; Total_Calories -> Protein_g; Carbohydrates_g -> Protein_g; Total_Sugars_g -> Protein_g; Dietary_Fiber_g -> Protein_g; Gender -> Carbohydrates_g; Vigorous_Activity -> Carbohydrates_g; Total_Sugars_g -> Carbohydrates_g; Dietary_Fiber_g -> Carbohydrates_g; Gender -> Total_Sugars_g; Vigorous_Activity -> Total_Sugars_g; Dietary_Fiber_g -> Total_Sugars_g; Gender -> Dietary_Fiber_g; Vigorous_Activity -> Dietary_Fiber_g,
