graph_csv,graph_name,is_dag,n_nodes,n_directed_edges,Vigorous_Activity_to_BMI_has_path,Vigorous_Activity_to_BMI_path,Total_Calories_to_BMI_has_path,Total_Calories_to_BMI_path,Protein_g_to_BMI_has_path,Protein_g_to_BMI_path,Carbohydrates_g_to_BMI_has_path,Carbohydrates_g_to_BMI_path,all_treatments_have_path_to_outcome
outputs/resit/graph_csvs/resit_regressor_random_forest_alpha_0p001_constraint_nhanes_moderate_tiers_edges.csv,resit_regressor_random_forest_alpha_0p001_constraint_nhanes_moderate_tiers,True,14,84,True,Vigorous_Activity -> BMI,True,Total_Calories -> BMI,True,Protein_g -> BMI,True,Carbohydrates_g -> BMI,True
outputs/resit/graph_csvs/resit_regressor_random_forest_alpha_0p001_constraint_nhanes_strict_tiers_edges.csv,resit_regressor_random_forest_alpha_0p001_constraint_nhanes_strict_tiers,True,14,84,True,Vigorous_Activity -> BMI,True,Total_Calories -> BMI,True,Protein_g -> BMI,True,Carbohydrates_g -> BMI,True
outputs/resit/graph_csvs/resit_regressor_random_forest_alpha_0p001_constraint_unconstrained_edges.csv,resit_regressor_random_forest_alpha_0p001_constraint_unconstrained,True,14,85,True,Vigorous_Activity -> BMI,True,Total_Calories -> BMI,True,Protein_g -> BMI,True,Carbohydrates_g -> BMI,True
outputs/resit/graph_csvs/resit_regressor_random_forest_alpha_0p010_constraint_nhanes_moderate_tiers_edges.csv,resit_regressor_random_forest_alpha_0p010_constraint_nhanes_moderate_tiers,True,14,86,True,Vigorous_Activity -> BMI,True,Total_Calories -> BMI,True,Protein_g -> BMI,True,Carbohydrates_g -> BMI,True
outputs/resit/graph_csvs/resit_regressor_random_forest_alpha_0p010_constraint_nhanes_strict_tiers_edges.csv,resit_regressor_random_forest_alpha_0p010_constraint_nhanes_strict_tiers,True,14,87,True,Vigorous_Activity -> BMI,True,Total_Calories -> BMI,True,Protein_g -> BMI,True,Carbohydrates_g -> BMI,True
outputs/resit/graph_csvs/resit_regressor_random_forest_alpha_0p010_constraint_unconstrained_edges.csv,resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,True,14,89,True,Vigorous_Activity -> BMI,True,Total_Calories -> BMI,True,Protein_g -> BMI,True,Carbohydrates_g -> BMI,True
outputs/resit/graph_csvs/resit_regressor_random_forest_alpha_0p050_constraint_nhanes_moderate_tiers_edges.csv,resit_regressor_random_forest_alpha_0p050_constraint_nhanes_moderate_tiers,True,14,88,True,Vigorous_Activity -> BMI,True,Total_Calories -> BMI,True,Protein_g -> BMI,True,Carbohydrates_g -> BMI,True
outputs/resit/graph_csvs/resit_regressor_random_forest_alpha_0p050_constraint_nhanes_strict_tiers_edges.csv,resit_regressor_random_forest_alpha_0p050_constraint_nhanes_strict_tiers,True,14,89,True,Vigorous_Activity -> BMI,True,Total_Calories -> BMI,True,Protein_g -> BMI,True,Carbohydrates_g -> BMI,True
outputs/resit/graph_csvs/resit_regressor_random_forest_alpha_0p050_constraint_unconstrained_edges.csv,resit_regressor_random_forest_alpha_0p050_constraint_unconstrained,True,14,91,True,Vigorous_Activity -> BMI,True,Total_Calories -> BMI,True,Protein_g -> BMI,True,Carbohydrates_g -> BMI,True
