graph,n_directed,n_undirected,n_total
resit_regressor_random_forest_alpha_0p000_constraint_nhanes_moderate_tiers,81,0,81
resit_regressor_random_forest_alpha_0p000_constraint_nhanes_strict_tiers,77,0,77
resit_regressor_random_forest_alpha_0p000_constraint_unconstrained,81,0,81
