graph,source,target,edge_type,weight,abs_weight
directlingam_measure_pwling_threshold_0p050_constraint_nhanes_moderate_tiers,Income_Ratio,Age,directed,0.09474068841305681,0.09474068841305681
directlingam_measure_pwling_threshold_0p050_constraint_nhanes_moderate_tiers,Age,BMI,directed,-0.1576763165908609,0.1576763165908609
directlingam_measure_pwling_threshold_0p050_constraint_nhanes_moderate_tiers,Gender,BMI,directed,0.1605838254766389,0.1605838254766389
directlingam_measure_pwling_threshold_0p050_constraint_nhanes_moderate_tiers,Waist_Circumference,BMI,directed,0.9598922829532499,0.9598922829532499
directlingam_measure_pwling_threshold_0p050_constraint_nhanes_moderate_tiers,Age,Waist_Circumference,directed,0.1766169499031871,0.1766169499031871
directlingam_measure_pwling_threshold_0p050_constraint_nhanes_moderate_tiers,Gender,Waist_Circumference,directed,-0.10977922776168066,0.10977922776168066
directlingam_measure_pwling_threshold_0p050_constraint_nhanes_moderate_tiers,Vigorous_Activity,Waist_Circumference,directed,-0.1272569579365244,0.1272569579365244
directlingam_measure_pwling_threshold_0p050_constraint_nhanes_moderate_tiers,Sedentary_Minutes,Waist_Circumference,directed,0.12784684156457218,0.12784684156457218
directlingam_measure_pwling_threshold_0p050_constraint_nhanes_moderate_tiers,Total_Calories,Waist_Circumference,directed,0.06923811073480966,0.06923811073480966
directlingam_measure_pwling_threshold_0p050_constraint_nhanes_moderate_tiers,Dietary_Fiber_g,Waist_Circumference,directed,-0.0935592544102343,0.0935592544102343
directlingam_measure_pwling_threshold_0p050_constraint_nhanes_moderate_tiers,Age,Vigorous_Activity,directed,-0.34040188430433355,0.34040188430433355
directlingam_measure_pwling_threshold_0p050_constraint_nhanes_moderate_tiers,Gender,Vigorous_Activity,directed,-0.09433246448741855,0.09433246448741855
directlingam_measure_pwling_threshold_0p050_constraint_nhanes_moderate_tiers,Income_Ratio,Vigorous_Activity,directed,0.1819155200221771,0.1819155200221771
directlingam_measure_pwling_threshold_0p050_constraint_nhanes_moderate_tiers,Income_Ratio,Sedentary_Minutes,directed,0.16617307885053267,0.16617307885053267
directlingam_measure_pwling_threshold_0p050_constraint_nhanes_moderate_tiers,Age,Systolic_BP,directed,0.4609575547813235,0.4609575547813235
directlingam_measure_pwling_threshold_0p050_constraint_nhanes_moderate_tiers,Gender,Systolic_BP,directed,-0.05354400029763863,0.05354400029763863
directlingam_measure_pwling_threshold_0p050_constraint_nhanes_moderate_tiers,Income_Ratio,Systolic_BP,directed,-0.07517719694051844,0.07517719694051844
directlingam_measure_pwling_threshold_0p050_constraint_nhanes_moderate_tiers,Waist_Circumference,Systolic_BP,directed,0.1253964706962138,0.1253964706962138
